mode,slices,pct_each,slice_p50_ms_median,slice_p99_ms_worst,ratio_median,ratio_worst
partitioned,1,100,0.5718,0.6730,1.1770,1.1770
partitioned,8,12,5.0118,5.4953,1.0961,1.0967
partitioned,16,6,10.7866,11.3347,1.0488,1.0503
partitioned,32,3,27.1859,28.2097,1.0359,1.0376
partitioned,48,2,38.4541,38.9106,1.0097,1.0106
fixed10,8,10,5.6959,5.8766,1.0294,1.0316
fixed10,16,10,11.1973,11.9945,1.0657,1.0711
fixed10,48,10,27.3123,34.1387,1.2373,1.2517
