iter,ms
0,0.709632
1,0.744448
2,0.786432
3,0.710656
4,0.727040
5,0.735232
6,0.774144
7,0.728064
8,0.749568
9,0.711680
10,0.703488
11,0.723968
12,0.731136
13,0.687104
14,0.695296
15,0.712704
16,0.747520
17,0.690176
18,0.714752
19,0.747520
20,0.825344
21,0.753664
22,0.948224
23,0.704512
24,0.774144
25,0.724992
26,0.785408
27,0.734208
28,0.780288
29,0.739328
30,0.778240
31,0.834560
32,0.781312
33,0.753664
34,0.733184
35,0.920576
36,0.539648
37,0.802816
38,0.779264
39,0.794624
40,0.830464
41,0.778240
42,0.850944
43,0.792576
44,0.798720
45,0.849920
46,0.714752
47,0.614400
48,0.460800
49,0.414720
50,0.740352
51,0.811008
52,0.816128
53,0.590848
54,0.733184
55,0.874496
56,0.830464
57,0.820224
58,0.888832
59,0.754688
60,0.850944
61,0.804864
62,0.815104
63,0.820224
64,0.826368
65,0.812032
66,0.826368
67,0.813056
68,0.812032
69,0.822272
70,0.832512
71,0.858112
72,0.806912
73,0.835584
74,0.827392
75,0.798720
76,0.798720
77,0.758784
78,0.822272
79,0.830464
80,0.964608
81,0.811008
82,0.785408
83,0.785408
84,0.826368
85,0.766976
86,0.827392
87,0.821248
88,0.816128
89,0.832512
90,0.830464
91,0.839680
92,0.965632
93,0.737280
94,0.858112
95,0.807936
96,0.862208
97,0.834560
98,0.847872
99,0.828416
100,0.783360
101,0.881664
102,0.838656
103,0.843776
104,0.800768
105,0.856064
106,0.773120
107,0.840704
108,0.837632
109,0.842752
110,0.837632
111,0.818176
112,0.802816
113,0.788480
114,0.765952
115,0.677888
116,0.453632
117,0.399360
118,0.285696
119,0.297984
120,0.307200
121,0.317440
122,0.308224
123,0.290816
124,0.770048
125,0.842752
126,0.876544
127,0.809984
128,0.866304
129,0.836608
130,0.880640
131,0.829440
132,0.811008
133,0.824320
134,0.897024
135,0.891904
136,0.826368
137,0.889856
138,0.868352
139,0.836608
140,0.819200
141,0.877568
142,0.839680
143,0.857088
144,0.875520
145,0.864256
146,0.862208
147,0.858112
148,0.852992
149,0.850944
150,0.858112
151,0.864256
152,0.882688
153,0.832512
154,0.830464
155,0.852992
156,0.840704
157,0.828416
158,0.941056
159,0.869376
160,0.880640
161,0.913408
162,0.852992
163,0.870400
164,0.894976
165,0.851968
166,0.872448
167,0.901120
168,0.870400
169,0.888832
170,0.869376
171,0.960512
172,0.904192
173,0.860160
174,0.856064
175,0.863232
176,0.914432
177,0.875520
178,0.885760
179,0.858112
180,0.888832
181,0.930816
182,0.878592
183,0.867328
184,0.900096
185,0.978944
186,0.879616
187,0.921600
188,0.935936
189,0.841728
190,0.766976
191,0.650240
192,0.568320
193,0.523264
194,0.478208
195,0.482304
196,0.460800
197,0.849920
198,0.887808
199,0.934912
200,0.906240
201,0.920576
202,0.884736
203,0.925696
204,0.886784
205,0.887808
206,0.911360
207,0.856064
208,0.973824
209,0.913408
210,0.856064
211,0.913408
212,0.901120
213,0.904192
214,0.925696
215,0.901120
216,0.926720
217,0.907264
218,0.868352
219,0.901120
220,0.939008
221,0.912384
222,0.897024
223,0.914432
224,0.919552
225,0.940032
226,0.892928
227,0.861184
228,0.912384
229,0.917504
230,0.905216
231,0.934912
232,0.902144
233,0.912384
234,0.912384
235,0.894976
236,0.928768
237,0.857088
238,0.911360
239,0.900096
240,0.860160
241,0.910336
242,0.903168
243,0.896000
244,0.864256
245,0.855040
246,0.941056
247,0.872448
248,0.918528
249,0.877568
250,0.926720
251,0.924672
252,0.922624
253,0.909312
254,0.919552
255,0.914432
256,0.927744
257,0.869376
258,0.918528
259,0.942080
260,0.880640
261,0.917504
262,0.783360
263,0.711680
264,0.854016
265,0.898048
266,0.939008
267,0.899072
268,0.891904
269,0.929792
270,0.947200
271,0.891904
272,0.879616
273,0.931840
274,0.936960
275,0.930816
276,0.881664
277,0.924672
278,0.892928
279,0.885760
280,0.908288
281,0.427008
282,0.872448
283,0.870400
284,0.877568
285,0.878592
286,0.875520
287,0.881664
288,0.888832
289,0.903168
290,0.875520
291,0.916480
292,0.922624
293,0.906240
294,0.935936
295,0.897024
296,0.912384
297,0.916480
298,0.918528
299,0.890880
300,0.898048
301,0.935936
302,0.926720
303,0.924672
