iter,ms
0,1.186816
1,1.105920
2,1.169408
3,1.167360
4,1.166336
5,1.180672
6,1.127424
7,1.154048
8,1.161216
9,1.173504
10,1.160192
11,1.188864
12,1.153024
13,1.205248
14,1.214464
15,1.147904
16,1.159168
17,1.179648
18,1.186816
19,1.143808
20,1.169408
21,1.175552
22,1.184768
23,1.256448
24,1.250304
25,1.206272
26,1.210368
27,1.181696
28,1.170432
29,1.153024
30,1.163264
31,1.200128
32,1.238016
33,1.244160
34,1.245184
35,1.231872
36,1.187840
37,1.238016
38,1.228800
39,1.172480
40,1.186816
41,1.210368
42,1.179648
43,1.263616
44,1.243136
45,1.256448
46,1.177600
47,1.191936
48,1.242112
49,1.211392
50,0.965632
51,0.659456
52,1.304576
53,1.263616
54,1.248256
55,1.244160
56,1.198080
57,1.221632
58,1.165312
59,1.192960
60,1.202176
61,1.220608
62,1.219584
63,1.196032
64,1.211392
65,1.241088
66,1.169408
67,1.214464
68,1.186816
69,1.257472
70,1.255424
71,1.255424
72,1.218560
73,1.157120
74,1.217536
75,1.223680
76,1.213440
77,1.204224
78,1.207296
79,1.233920
80,1.534976
81,1.287168
82,1.260544
83,1.238016
84,1.219584
85,1.215488
86,1.213440
87,1.193984
88,1.187840
89,1.228800
90,1.272832
91,1.244160
92,1.208320
93,1.178624
94,1.179648
95,1.184768
96,1.240064
97,1.203200
98,1.213440
99,1.228800
100,1.230848
101,0.823296
102,1.234944
103,1.224704
104,1.227776
105,1.192960
106,1.217536
107,1.245184
108,1.253376
109,1.261568
110,1.199104
111,1.224704
112,1.188864
113,1.210368
114,1.247232
115,1.252352
116,1.274880
117,1.220608
118,1.217536
119,1.249280
120,1.218560
121,1.253376
122,1.232896
123,1.281024
124,1.224704
125,1.214464
126,1.257472
127,1.280000
128,1.242112
129,1.274880
130,1.178624
131,1.226752
132,1.238016
133,1.258496
134,1.265664
135,1.245184
136,1.300480
137,1.252352
138,1.231872
139,1.260544
140,1.247232
141,1.211392
142,1.259520
143,1.249280
144,1.198080
145,1.228800
146,1.213440
147,1.244160
148,1.255424
149,1.217536
