iter,ms
0,1.049600
1,1.224704
2,1.221632
3,1.210368
4,1.181696
5,1.173504
6,1.162240
7,1.172480
8,1.132544
9,1.179648
10,1.246208
11,1.158144
12,1.200128
13,1.242112
14,1.220608
15,1.190912
16,1.211392
17,1.192960
18,1.289216
19,1.213440
20,1.202176
21,1.165312
22,1.207296
23,1.213440
24,1.224704
25,1.183744
26,1.191936
27,1.212416
28,1.234944
29,1.116160
30,1.245184
31,1.209344
32,1.185792
33,1.189888
34,1.178624
35,1.175552
36,1.170432
37,1.154048
38,1.168384
39,1.201152
40,1.253376
41,1.245184
42,1.175552
43,1.213440
44,1.145856
45,1.180672
46,1.170432
47,1.183744
48,1.228800
49,1.186816
50,1.200128
51,1.135616
52,1.199104
53,1.241088
54,1.196032
55,1.229824
56,1.241088
57,1.215488
58,1.253376
59,1.257472
60,1.193984
61,1.174528
62,1.247232
63,1.266688
64,1.260544
65,1.269760
66,1.200128
67,1.236992
68,1.252352
69,1.221632
70,1.259520
71,1.224704
72,1.294336
73,1.242112
74,1.231872
75,1.222656
76,1.260544
77,1.198080
78,1.310720
79,1.247232
80,1.244160
81,1.225728
82,1.228800
83,1.256448
84,1.224704
85,1.228800
86,1.257472
87,1.273856
88,1.277952
89,1.227776
90,1.249280
91,1.248256
92,1.256448
93,1.229824
94,1.228800
95,1.267712
96,1.227776
97,1.231872
98,1.239040
99,1.209344
100,1.217536
101,1.182720
102,1.225728
103,1.226752
104,1.267712
105,1.225728
106,1.245184
107,1.268736
108,1.245184
109,1.243136
110,1.272832
111,1.259520
112,1.227776
113,1.292288
114,1.278976
115,1.262592
116,1.292288
117,1.291264
118,1.334272
119,1.295360
120,1.355776
121,1.295360
122,1.291264
123,1.270784
124,1.292288
125,1.319936
126,1.483776
127,1.372160
128,1.382400
129,1.352704
130,1.355776
131,1.349632
132,1.334272
133,1.467392
134,1.375232
135,1.375232
136,1.382400
137,1.409024
138,1.385472
139,1.389568
140,1.414144
141,1.347584
142,1.328128
143,1.359872
144,1.091584
145,0.659456
146,1.368064
147,1.357824
148,1.337344
149,1.350656
150,1.352704
151,1.385472
152,1.349632
153,1.340416
154,1.347584
155,1.348608
156,1.344512
157,1.376256
158,1.333248
159,1.368064
160,1.313792
161,1.326080
162,1.326080
163,1.325056
164,1.339392
165,1.343488
166,1.334272
167,1.352704
168,1.315840
169,1.292288
170,1.346560
171,1.312768
172,1.324032
173,1.363968
174,1.325056
175,1.357824
176,1.370112
177,1.360896
178,1.349632
179,1.373184
180,1.326080
181,1.351680
182,1.331200
183,1.358848
184,1.351680
185,1.334272
186,1.360896
187,1.350656
188,1.342464
189,1.397760
190,1.217536
191,0.768000
192,0.674816
193,0.638976
194,0.612352
195,1.472512
196,1.304576
197,1.321984
198,1.388544
199,1.328128
200,1.333248
201,1.292288
202,1.366016
203,1.318912
204,1.341440
205,1.326080
206,1.324032
207,1.334272
208,1.309696
209,1.368064
210,1.298432
211,1.359872
212,1.315840
213,1.413120
214,1.354752
215,1.358848
216,1.354752
217,1.357824
218,1.318912
219,1.346560
220,1.313792
221,1.366016
222,1.341440
223,1.386496
224,1.343488
225,1.323008
226,1.333248
227,1.299456
228,1.311744
229,1.328128
230,1.283072
231,1.334272
232,1.336320
233,1.378304
234,1.354752
235,1.374208
236,1.346560
237,1.363968
238,1.348608
239,1.319936
240,0.903168
241,1.446912
242,1.336320
243,1.240064
244,1.385472
245,1.393664
246,1.393664
247,1.358848
248,1.339392
249,1.388544
250,1.390592
251,1.357824
252,1.300480
253,1.311744
254,1.335296
255,1.343488
256,1.333248
257,1.369088
258,1.308672
259,1.364992
260,1.327104
261,1.314816
262,1.401856
263,1.356800
264,1.346560
265,1.373184
266,1.388544
267,1.359872
268,1.344512
269,1.340416
270,1.359872
271,1.301504
272,1.346560
273,1.340416
274,1.394688
275,1.380352
276,1.307648
277,1.380352
278,1.381376
279,1.355776
280,1.341440
281,1.372160
282,1.367040
283,1.340416
284,1.321984
285,1.253376
286,1.434624
287,1.339392
288,1.302528
289,1.311744
290,1.333248
291,1.367040
292,1.366016
293,1.373184
294,1.352704
295,1.308672
296,1.316864
297,1.337344
298,1.364992
299,1.323008
300,1.363968
301,1.318912
302,1.348608
303,1.409024
304,1.305600
305,1.334272
306,1.347584
307,1.363968
308,1.318912
309,1.315840
310,1.351680
311,1.354752
312,1.331200
313,1.315840
314,1.275904
315,1.306624
316,1.341440
317,1.303552
318,1.345536
319,1.349632
320,1.363968
321,1.342464
322,1.388544
323,1.339392
324,1.350656
325,1.342464
326,1.350656
327,1.369088
328,1.379328
329,1.298432
330,1.136640
331,1.184768
332,1.328128
333,1.310720
334,1.370112
335,1.364992
336,1.402880
337,1.340416
338,1.320960
339,1.377280
340,1.342464
341,1.333248
342,1.393664
343,1.355776
344,1.350656
345,1.351680
346,1.333248
347,1.348608
348,1.343488
349,1.282048
350,1.319936
351,1.327104
352,1.320960
353,1.310720
354,1.368064
355,1.361920
356,1.333248
357,1.341440
358,1.321984
359,1.366016
360,1.320960
361,1.343488
362,1.311744
363,1.342464
364,1.355776
365,1.316864
366,1.385472
367,1.316864
368,1.354752
369,1.315840
370,1.391616
371,1.335296
372,1.377280
373,1.383424
374,1.302528
375,1.053696
376,0.771072
377,0.683008
378,0.623616
379,1.542144
380,1.188864
381,1.319936
382,1.444864
383,1.381376
384,1.324032
385,1.338368
386,1.351680
387,1.321984
388,1.309696
389,1.321984
390,1.356800
391,1.327104
392,1.323008
393,1.326080
394,1.283072
395,1.281024
396,1.315840
397,1.321984
398,1.344512
399,1.306624
400,1.272832
401,1.319936
402,1.368064
403,1.272832
404,1.317888
405,1.336320
406,1.367040
407,1.318912
408,1.376256
409,1.273856
410,1.305600
411,1.323008
412,1.325056
413,1.291264
414,1.319936
415,1.299456
416,1.325056
417,1.371136
418,1.317888
419,1.346560
420,1.339392
421,1.326080
422,1.293312
423,1.258496
424,1.253376
425,1.057792
426,1.284096
427,1.330176
428,1.342464
429,1.324032
430,1.289216
431,1.315840
432,1.370112
433,1.329152
434,1.397760
435,1.326080
436,1.309696
437,1.266688
438,1.295360
439,1.320960
440,1.373184
441,1.330176
442,1.373184
443,1.297408
444,1.325056
445,1.329152
446,1.332224
447,1.275904
448,1.330176
449,1.305600
450,1.292288
451,1.345536
452,1.364992
453,1.293312
454,1.363968
455,1.332224
456,1.332224
457,1.329152
458,1.363968
459,1.299456
460,1.298432
461,1.377280
462,1.356800
463,1.308672
464,1.294336
465,1.323008
466,1.312768
467,1.366016
468,1.360896
469,1.101824
470,1.390592
471,1.318912
472,1.303552
473,1.295360
474,1.312768
475,1.345536
476,1.341440
477,1.361920
478,1.334272
479,1.364992
480,1.318912
481,1.317888
482,1.287168
483,1.275904
484,1.385472
485,1.352704
486,1.301504
487,1.380352
488,1.319936
489,1.290240
490,1.260544
491,1.290240
492,1.353728
493,1.343488
494,1.270784
495,1.334272
496,1.297408
497,1.334272
498,1.363968
499,1.341440
500,1.323008
501,1.337344
502,1.331200
503,1.328128
504,1.354752
505,1.307648
506,1.325056
507,1.330176
508,1.371136
509,1.333248
510,1.378304
511,1.335296
512,1.257472
513,1.303552
514,1.268736
515,1.024000
516,0.731136
517,1.396736
518,1.357824
519,1.358848
520,1.330176
521,1.303552
522,1.280000
523,1.364992
524,1.336320
525,1.324032
526,1.350656
527,1.344512
528,1.344512
529,1.375232
530,1.315840
531,1.348608
532,1.301504
533,1.319936
534,1.328128
535,1.314816
536,1.375232
537,1.318912
538,1.303552
539,1.340416
540,1.306624
541,1.325056
542,1.318912
543,1.389568
544,1.343488
545,1.315840
546,1.342464
