iter,ms
0,1.225728
1,1.215488
2,1.162240
3,1.257472
4,1.179648
5,1.182720
6,1.172480
7,1.175552
8,1.235968
9,1.185792
10,1.156096
11,1.276928
12,1.163264
13,1.180672
14,1.193984
15,1.195008
16,1.178624
17,1.190912
18,1.226752
19,1.205248
20,1.233920
21,1.165312
22,1.048576
23,1.158144
24,1.196032
25,1.178624
26,1.138688
27,1.214464
28,1.254400
29,1.300480
30,1.228800
31,1.219584
32,1.235968
33,1.164288
34,1.164288
35,1.186816
36,1.195008
37,1.184768
38,1.181696
39,1.267712
40,1.267712
41,1.183744
42,1.196032
43,1.173504
44,1.176576
45,1.222656
46,1.180672
47,1.189888
48,1.189888
49,1.353728
50,0.891904
51,1.196032
52,1.137664
53,1.245184
54,1.243136
55,1.150976
56,1.236992
57,1.238016
58,1.258496
59,1.231872
60,1.238016
61,1.198080
62,1.228800
63,1.271808
64,1.242112
65,1.261568
66,1.189888
67,1.199104
68,1.277952
69,1.246208
70,1.261568
71,1.224704
72,1.226752
73,1.248256
74,1.298432
75,1.277952
76,1.256448
77,1.240064
78,1.243136
79,1.121280
80,1.241088
81,1.203200
82,1.283072
83,1.233920
84,1.215488
85,1.218560
86,1.182720
87,1.257472
88,1.261568
89,1.225728
90,1.204224
91,1.207296
92,1.241088
93,1.265664
94,1.274880
95,1.274880
96,1.219584
97,1.268736
98,1.234944
99,1.241088
100,1.167360
101,1.216512
102,1.192960
103,1.223680
104,1.267712
105,1.221632
106,1.229824
107,1.245184
108,1.219584
109,1.204224
110,1.247232
111,1.255424
112,1.261568
113,1.223680
114,1.275904
115,1.301504
116,1.323008
117,1.265664
118,1.238016
119,1.257472
120,1.309696
121,1.271808
122,1.303552
123,1.272832
124,1.315840
125,1.283072
126,1.330176
127,1.326080
128,1.268736
129,1.264640
130,1.363968
131,1.308672
132,1.350656
133,1.325056
134,1.370112
135,1.284096
136,1.324032
137,1.334272
138,1.323008
139,1.336320
140,1.381376
141,1.380352
142,1.351680
143,1.355776
144,1.316864
145,1.320960
146,1.137664
147,1.369088
148,1.354752
149,1.337344
150,1.292288
151,1.343488
152,1.336320
153,1.260544
154,1.300480
155,1.336320
156,1.348608
157,1.379328
158,1.345536
159,1.377280
160,1.386496
161,1.363968
162,1.340416
163,1.392640
164,1.328128
165,1.320960
166,1.400832
167,1.395712
168,1.338368
169,1.353728
170,1.345536
171,1.303552
172,1.358848
173,1.320960
174,1.353728
175,1.330176
176,1.306624
177,1.359872
178,1.348608
179,1.397760
180,1.323008
181,1.383424
182,1.293312
183,1.380352
184,1.266688
185,1.359872
186,1.337344
187,1.303552
188,1.295360
189,1.337344
190,1.388544
191,1.228800
192,0.780288
193,0.651264
194,0.648192
195,0.612352
196,0.595968
197,0.590848
198,1.371136
199,1.350656
200,1.352704
201,1.298432
202,1.367040
203,1.328128
204,1.318912
205,1.315840
206,1.333248
207,1.349632
208,1.333248
209,1.369088
210,1.346560
211,1.374208
212,1.356800
213,1.344512
214,1.359872
215,1.370112
216,1.305600
217,1.357824
218,1.354752
219,1.366016
220,1.357824
221,1.319936
222,1.313792
223,1.375232
224,1.312768
225,1.345536
226,1.346560
227,1.342464
228,1.324032
229,1.314816
230,1.357824
231,1.303552
232,1.335296
233,1.278976
234,1.339392
235,1.303552
236,1.334272
237,1.307648
238,1.280000
239,1.296384
240,1.368064
241,1.302528
242,1.340416
243,37.304321
244,1.443840
245,1.333248
246,1.234944
247,1.380352
248,1.393664
249,1.391616
250,1.317888
251,1.403904
252,1.327104
253,1.344512
254,1.317888
255,1.396736
256,1.357824
257,1.329152
258,1.340416
259,1.336320
260,1.364992
261,1.304576
262,1.300480
263,1.314816
264,1.363968
265,1.333248
266,1.353728
267,1.340416
268,1.317888
269,1.335296
270,1.342464
271,1.291264
272,1.378304
273,1.360896
274,1.362944
275,1.343488
276,1.344512
277,1.347584
278,1.368064
279,1.411072
280,1.325056
281,1.343488
282,1.326080
283,1.362944
284,1.378304
285,1.325056
286,1.340416
287,1.362944
288,1.312768
289,1.434624
290,1.340416
291,1.302528
292,1.310720
293,1.332224
294,1.359872
295,1.302528
296,1.316864
297,1.299456
298,1.307648
299,1.371136
300,1.331200
301,1.336320
302,1.374208
303,1.310720
304,1.358848
305,1.267712
306,1.373184
307,1.357824
308,1.347584
309,1.355776
310,1.357824
311,1.330176
312,1.376256
313,1.345536
314,1.364992
315,1.341440
316,1.306624
317,1.336320
318,1.378304
319,1.335296
320,1.353728
321,1.334272
322,1.342464
323,1.364992
324,1.398784
325,1.386496
326,1.286144
327,1.315840
328,1.309696
329,1.307648
330,1.366016
331,1.344512
332,1.361920
333,1.186816
334,0.808960
335,1.197056
336,1.285120
337,1.271808
338,1.272832
339,1.312768
340,1.329152
341,1.392640
342,1.385472
343,1.363968
344,1.373184
345,1.320960
346,1.350656
347,1.345536
348,1.341440
349,1.337344
350,1.351680
351,1.326080
352,1.371136
353,1.320960
354,1.310720
355,1.340416
356,1.313792
357,1.343488
358,1.357824
359,1.329152
360,1.362944
361,1.311744
362,1.368064
363,1.361920
364,1.361920
365,1.359872
366,1.351680
367,1.345536
368,1.352704
369,1.315840
370,1.343488
371,1.345536
372,1.327104
373,1.309696
374,1.299456
375,1.311744
376,1.323008
377,1.372160
378,1.325056
379,1.220608
380,0.828416
381,0.699392
382,0.645120
383,0.615424
384,1.340416
385,1.255424
386,1.334272
387,1.375232
388,1.333248
389,1.302528
390,1.308672
391,1.274880
392,1.283072
393,1.272832
394,1.338368
395,1.325056
396,1.338368
397,1.336320
398,1.308672
399,1.324032
400,1.325056
401,1.271808
402,1.319936
403,1.326080
404,1.357824
405,1.350656
406,1.377280
407,1.317888
