iter,ms
0,1.113088
1,1.106944
2,1.146880
3,1.113088
4,1.141760
5,1.125376
6,1.118208
7,1.137664
8,1.171456
9,1.126400
10,1.178624
11,1.170432
12,1.173504
13,1.270784
14,1.214464
15,1.154048
16,1.160192
17,1.163264
18,1.163264
19,1.125376
20,1.131520
21,1.124352
22,1.438720
23,1.239040
24,1.226752
25,1.198080
26,1.162240
27,1.218560
28,1.168384
29,1.192960
30,1.203200
31,1.197056
32,1.159168
33,1.179648
34,1.181696
35,1.198080
36,1.186816
37,1.174528
38,1.310720
39,1.190912
40,1.196032
41,1.216512
42,1.211392
43,1.270784
44,1.189888
45,1.253376
46,1.266688
47,1.217536
48,1.212416
49,1.217536
50,1.063936
51,0.659456
52,1.301504
53,1.264640
54,1.183744
55,1.251328
56,1.219584
57,1.179648
58,1.179648
59,1.176576
60,1.249280
61,1.174528
62,1.206272
63,1.195008
64,1.213440
65,1.189888
66,1.171456
67,1.177600
68,1.183744
69,1.203200
70,1.293312
71,1.220608
72,1.184768
73,1.351680
74,1.228800
75,1.221632
76,1.178624
77,1.170432
78,1.220608
79,1.286144
80,1.255424
81,1.095680
82,1.225728
83,1.200128
84,1.221632
85,1.181696
86,1.178624
87,1.183744
88,1.240064
89,1.196032
90,1.152000
91,1.233920
92,1.238016
93,1.256448
94,1.202176
95,1.180672
96,1.216512
97,1.208320
98,1.184768
99,1.203200
100,1.223680
101,1.111040
102,1.162240
103,1.156096
104,1.189888
105,1.217536
106,1.200128
107,1.175552
108,1.202176
109,1.197056
110,1.309696
111,1.185792
112,1.197056
113,1.228800
114,1.276928
115,1.202176
116,1.247232
117,1.228800
118,1.210368
119,1.251328
120,1.222656
121,1.252352
122,1.268736
123,1.200128
124,1.232896
125,1.216512
126,1.264640
127,1.249280
128,1.242112
129,1.212416
130,1.255424
131,1.187840
132,1.245184
133,1.229824
134,1.232896
135,1.239040
136,1.242112
137,1.260544
138,1.238016
139,1.231872
140,1.220608
141,1.217536
142,1.231872
143,1.221632
144,1.211392
145,1.267712
146,1.246208
147,1.246208
148,1.248256
149,1.247232
150,1.137664
151,0.822272
152,0.669696
153,1.260544
154,1.239040
155,1.273856
156,1.231872
157,1.223680
158,1.231872
159,1.209344
160,1.216512
161,1.205248
162,1.201152
163,1.245184
164,1.270784
165,1.235968
166,1.232896
167,1.275904
168,1.270784
169,1.278976
170,1.302528
171,1.292288
172,1.270784
