iter,ms
0,7.906048
1,7.787936
2,7.811296
3,7.782016
4,7.785088
5,7.794048
6,7.780224
7,7.779808
8,7.792800
9,7.784448
10,7.779712
11,7.813408
12,7.796576
13,7.781920
14,7.782784
15,7.790656
16,7.788192
17,7.782304
18,7.784160
19,7.791232
20,7.787744
21,7.788576
22,7.790560
23,7.788736
24,7.786240
25,7.781024
26,7.796960
27,7.779776
28,7.788608
29,7.785184
30,7.778144
31,7.780000
32,7.790112
33,7.792064
34,7.781056
35,7.789792
36,7.795392
37,7.783168
38,7.780416
39,7.787040
40,7.783264
41,7.783904
42,7.785152
43,7.788032
44,7.799104
45,7.783328
46,7.797376
47,7.806816
48,7.794944
49,7.787392
50,7.790976
51,7.783904
52,7.794336
53,7.793536
54,7.787712
55,7.798144
56,7.790336
57,7.784832
58,7.787936
59,7.800352
60,7.778304
61,7.777824
62,7.783232
63,7.782048
64,7.785856
65,7.791008
66,7.790208
67,7.791520
68,7.782144
69,7.787296
70,7.786880
71,7.783712
72,7.779360
73,7.789856
74,7.790080
75,7.789664
76,7.778080
77,7.787744
78,7.790464
79,7.787680
80,7.793728
81,7.794144
82,7.788128
83,7.793728
84,7.782848
85,7.790336
86,7.788064
87,7.786016
88,7.781600
89,7.794336
90,7.788640
91,7.783424
92,7.781920
93,7.782720
94,7.793760
95,7.784992
96,7.787808
97,7.815104
98,7.780128
99,7.794848
100,7.795232
101,7.782400
102,7.782496
103,7.780544
104,7.785536
105,7.780352
106,7.791488
107,7.786240
108,7.784640
109,7.782208
110,7.790720
111,7.789024
112,7.792512
113,7.788640
114,7.795968
115,7.788480
116,7.791456
117,7.780224
118,7.807872
119,7.777952
120,7.779648
121,7.781984
122,7.788928
123,7.781344
124,7.779168
125,7.779232
126,7.782400
127,7.788224
128,7.814368
129,7.820384
130,7.780032
131,7.787264
132,7.782784
133,7.783392
134,7.779424
135,7.793376
136,7.781152
137,7.793440
138,7.781088
139,7.782432
140,7.786656
141,7.790048
142,7.794816
143,7.789760
144,7.784672
145,7.781632
146,7.793184
147,7.781824
148,7.794240
149,7.790272
150,7.784768
151,7.789632
152,7.780288
153,7.778144
154,7.783872
155,7.785472
156,7.795712
157,7.787904
158,7.782880
159,7.788000
160,7.786464
161,7.783776
162,7.783360
163,7.783040
164,7.788448
165,7.783072
166,7.787584
167,7.783616
168,7.777088
169,7.780320
170,7.778464
171,7.783008
172,7.793408
173,7.780416
174,7.784320
175,7.784064
176,7.808224
177,7.779712
178,7.785408
179,7.782816
180,7.784544
181,7.788960
182,7.792256
183,7.778784
184,7.777152
185,7.782368
186,7.783616
187,7.784896
188,7.784992
189,7.791904
190,7.809952
191,7.785728
192,7.782144
193,7.786656
194,7.782880
195,7.791744
196,7.788736
197,7.788064
198,7.785728
199,7.791392
200,7.784704
201,7.788960
202,7.787168
203,7.781792
204,7.792832
205,7.784960
206,7.790432
207,7.783296
208,7.780768
209,7.809920
210,7.786368
211,7.788416
212,7.790656
213,7.796448
214,7.793504
215,7.786208
216,7.783904
217,7.778720
218,7.787232
219,7.791008
220,7.788448
221,7.788384
222,7.790432
223,7.780000
224,7.792864
225,7.787200
226,7.777824
227,7.792352
228,7.780992
229,7.783424
230,7.783360
231,7.779552
232,6.386720
233,6.385536
234,6.481696
235,6.382688
236,7.788800
237,7.783456
238,7.787648
239,7.783232
240,7.778720
241,7.780640
242,7.778144
243,6.547168
244,6.382752
245,6.390240
246,6.401536
247,6.392192
248,7.814528
249,7.793152
250,7.792608
251,7.805600
252,7.784320
253,7.786368
254,7.790112
