iter,ms
0,7.966272
1,7.809920
2,7.785280
3,7.788608
4,7.784000
5,7.785184
6,7.786208
7,7.784800
8,7.787072
9,7.789728
10,7.812000
11,7.785152
12,7.789760
13,7.886304
14,7.787136
15,7.784256
16,7.787392
17,7.786336
18,7.784960
19,7.808448
20,7.829024
21,7.795040
22,7.782912
23,7.779584
24,7.948032
25,7.794912
26,7.785920
27,7.784352
28,7.786880
29,7.804896
30,7.784864
31,7.786880
32,7.782432
33,7.781920
34,7.784480
35,7.786016
36,7.813952
37,7.812480
38,7.822816
39,7.815584
40,7.792992
41,7.780896
42,7.809824
43,7.808480
44,7.785952
45,7.909920
46,7.795776
47,7.784000
48,7.817856
49,7.784992
50,7.859552
51,7.819168
52,7.780128
53,7.789984
54,7.788896
55,7.784000
56,7.975968
57,7.817792
58,7.810752
59,7.920512
60,7.792224
61,7.867328
62,7.812672
63,7.783520
64,7.788608
65,7.792768
66,7.813280
67,7.789632
68,7.789952
69,7.788576
70,7.803680
71,7.787680
72,7.781088
73,7.819584
74,7.786944
75,7.789312
76,7.816736
77,7.805952
78,7.848960
79,7.819456
80,7.786880
81,7.776832
82,7.788160
83,7.784896
84,7.785280
85,7.786016
86,7.788448
87,7.821120
88,7.790912
89,7.788000
90,7.780608
91,7.819648
92,7.782048
93,7.794912
94,7.783520
95,7.813728
96,7.787680
97,7.802976
98,7.782976
99,7.787296
100,7.847136
101,7.786016
102,7.785248
103,7.787296
104,7.790720
105,7.787296
106,7.786656
107,7.779520
108,7.784128
109,7.787328
110,7.794240
111,7.793696
112,7.789440
113,7.816160
114,7.791136
115,7.787232
116,7.783552
117,7.789792
118,7.774176
119,7.790496
120,7.783808
121,7.786368
122,7.785952
123,7.804704
124,7.783456
125,7.786720
126,7.813696
127,7.790208
128,7.787136
129,7.787488
130,7.785184
131,7.814784
132,7.784800
133,7.812864
134,7.824992
135,7.784832
136,7.778144
137,7.782720
138,7.784864
139,7.789984
140,7.789152
141,7.786976
142,7.804128
143,7.790752
144,7.791744
145,7.786976
146,7.780928
147,7.779360
148,7.787744
149,7.784640
150,7.809408
151,7.788256
152,7.807040
153,7.787040
154,7.787360
155,7.787424
156,7.787360
157,7.788640
158,7.784960
159,7.809952
160,7.786272
161,7.784992
162,7.782496
163,7.809408
164,7.794464
165,7.783648
166,7.785312
167,7.782496
168,7.786400
169,7.782688
170,7.784896
171,7.789280
172,7.786496
173,7.801216
174,7.783808
175,7.786688
176,7.787616
177,7.780096
178,7.788256
179,7.785760
180,7.786400
181,7.789280
182,7.792672
183,7.794112
184,7.788896
185,7.778592
186,7.790592
187,7.788448
188,7.786688
189,7.787072
190,7.789280
191,7.800832
192,7.786048
193,7.792512
194,7.790656
195,7.781760
196,7.791264
197,7.783360
198,7.787072
199,7.786176
200,7.783296
201,7.814336
202,7.820928
203,7.787808
204,7.783744
205,7.777408
206,7.785024
207,7.798272
208,7.798528
209,7.787168
210,7.779808
211,7.791776
212,7.790016
213,7.810176
214,7.789216
215,7.786656
216,7.817472
217,7.799936
218,7.784288
219,7.786368
220,7.786880
221,7.817856
222,7.787936
223,7.784992
224,7.787008
225,7.787616
226,7.784192
227,7.788864
228,7.789888
229,7.789920
230,7.785056
231,7.779520
232,6.388192
233,6.384160
234,6.382752
235,6.388192
236,6.382816
237,7.908736
238,7.822112
239,7.825984
240,7.790112
241,7.787744
242,7.868800
243,10.721600
244,6.395712
245,6.386400
246,6.393344
247,6.390976
248,7.782592
249,7.784800
250,7.787520
251,7.817728
252,7.779776
253,7.813984
254,7.784128
