iter,ms
0,7.600640
1,7.818080
2,7.782368
3,7.781408
4,7.786752
5,7.782496
6,7.783360
7,7.784032
8,7.783072
9,7.779712
10,7.781504
11,7.791040
12,7.785728
13,7.782656
14,7.819904
15,7.785632
16,7.811680
17,7.795520
18,7.793664
19,7.812672
20,7.783584
21,7.807776
22,7.784192
23,7.787968
24,7.787104
25,7.785216
26,7.790144
27,7.783040
28,7.783744
29,7.818496
30,7.784992
31,7.787904
32,7.782016
33,7.783456
34,7.784736
35,7.805312
36,7.791232
37,7.786816
38,7.785568
39,7.814272
40,7.785376
41,7.785312
42,7.810048
43,7.784768
44,7.788352
45,7.797024
46,7.782432
47,7.804064
48,7.784128
49,7.786016
50,7.787712
51,7.812192
52,7.824672
53,7.802112
54,7.836096
55,7.788320
56,7.794144
57,7.819360
58,7.784800
59,7.785344
60,7.783424
61,7.782688
62,7.784960
63,7.811808
64,7.787904
65,7.780064
66,7.811296
67,7.786656
68,7.809504
69,7.782912
70,7.800160
71,7.787104
72,7.783840
73,7.784640
74,7.781024
75,7.791680
76,7.782208
77,7.789344
78,7.784672
79,7.804960
80,7.781184
81,7.811328
82,7.786112
83,7.783072
84,7.786560
85,7.784096
86,7.789920
87,7.783968
88,7.781952
89,7.786176
90,7.784448
91,7.790208
92,7.793856
93,7.797696
94,7.782272
95,7.800192
96,7.784800
97,7.792576
98,7.784096
99,7.796352
100,7.848928
101,7.809536
102,7.784096
103,7.782816
104,7.836576
105,7.784800
106,7.808576
107,7.783776
108,7.780832
109,7.786688
110,7.783776
111,7.790208
112,7.781216
113,7.785472
114,7.794176
115,7.788448
116,7.791456
117,7.832416
118,7.784000
119,7.803744
120,7.784768
121,7.784640
122,7.790720
123,7.792416
124,7.808384
125,7.790624
126,7.783680
127,7.815552
128,7.869344
129,7.866848
130,7.802496
131,7.787008
132,7.786304
133,7.806112
134,7.785440
135,7.789120
136,7.788544
137,7.780672
138,7.784480
139,7.813184
140,7.782304
141,7.791264
142,7.781056
143,7.783488
144,7.811712
145,7.783392
146,7.783424
147,7.784672
148,7.788256
149,7.781248
150,7.784832
151,7.856832
152,7.784000
153,7.784320
154,7.783456
155,7.796640
156,7.783008
157,7.780256
158,7.782656
159,7.780832
160,7.787392
161,7.784448
162,7.783808
163,7.815712
164,7.783232
165,7.781728
166,7.778656
167,7.780256
168,7.781504
169,7.784224
170,7.786400
171,7.788704
172,7.804928
173,7.783648
174,7.793568
175,7.806688
176,7.783584
177,7.784608
178,7.784672
179,7.782592
180,7.785984
181,7.783040
182,7.787584
183,7.780960
184,7.781760
185,7.784800
186,7.782880
187,7.784864
188,7.782368
189,7.783008
190,7.808576
191,7.781824
192,7.782176
193,7.782848
194,7.783648
195,7.782720
196,7.783520
197,7.814624
198,7.785664
199,7.785792
200,7.811648
201,7.812256
202,7.786080
203,7.831552
204,7.784256
205,7.782304
206,7.782560
207,7.785856
208,7.787040
209,7.786496
210,7.787232
211,7.781216
212,7.784736
213,7.813600
214,7.785984
215,7.801152
216,7.794272
217,7.790080
218,7.784224
219,7.783200
220,7.784672
221,7.787968
222,7.786720
223,7.790976
224,7.798624
225,7.782496
226,7.812352
227,7.807328
228,7.822016
229,7.803680
230,7.804768
231,7.787744
232,6.390656
233,6.386048
234,6.430336
235,6.385504
236,6.383648
237,7.810464
238,7.830016
239,7.825088
240,7.812096
241,7.819840
242,7.801344
243,7.831520
244,6.418912
245,6.424768
246,6.400992
247,6.481024
248,7.819488
249,7.809536
250,7.847936
251,7.811136
252,7.820320
253,7.817088
254,7.860480
