iter,ms
0,7.809280
1,7.792704
2,7.783168
3,7.784960
4,7.784672
5,7.785088
6,7.783008
7,7.786848
8,7.780736
9,7.782816
10,7.793120
11,7.785632
12,7.786464
13,7.779232
14,7.784544
15,7.777312
16,7.783520
17,7.784352
18,7.793440
19,7.801184
20,7.784928
21,7.781728
22,7.778048
23,7.790048
24,7.789664
25,7.812192
26,7.788416
27,7.780512
28,7.783744
29,7.787616
30,7.788672
31,7.786816
32,7.786368
33,7.783552
34,7.777472
35,7.779328
36,7.795744
37,7.789280
38,7.781408
39,7.785664
40,7.793920
41,7.785376
42,7.778272
43,7.788160
44,7.782400
45,7.777472
46,7.786784
47,7.786976
48,7.793792
49,7.778656
50,7.786336
51,7.787008
52,7.793760
53,7.781376
54,7.780480
55,7.781536
56,7.792672
57,7.781088
58,7.784256
59,7.789280
60,7.797344
61,7.780736
62,7.794720
63,7.782432
64,7.797184
65,7.786944
66,7.785920
67,7.785632
68,7.781248
69,7.783744
70,7.786080
71,7.791936
72,7.781184
73,7.782560
74,7.781984
75,7.783392
76,7.783104
77,7.799360
78,7.792448
79,7.781056
80,7.789888
81,7.784800
82,7.781056
83,7.794400
84,7.781024
85,7.788704
86,7.788992
87,7.784160
88,7.784416
89,7.786528
90,7.786400
91,7.780032
92,7.795008
93,7.782848
94,7.781792
95,7.781888
96,7.787648
97,7.784832
98,7.786336
99,7.784576
100,7.780256
101,7.778624
102,7.787936
103,7.782016
104,7.788896
105,7.793920
106,7.782432
107,7.783328
108,7.786240
109,7.784288
110,7.784896
111,7.785248
112,7.782688
113,7.784064
114,7.793088
115,7.784256
116,7.789888
117,7.785408
118,7.795488
119,7.800576
120,7.779456
121,7.782400
122,7.791712
123,7.779424
124,7.783584
125,7.789248
126,7.788096
127,7.790272
128,7.779360
129,7.781952
130,7.787264
131,7.787968
132,7.790048
133,7.799840
134,7.783872
135,7.783456
136,7.780576
137,7.781440
138,7.783360
139,7.784768
140,7.782080
141,7.788416
142,7.787488
143,7.784384
144,7.790848
145,7.785792
146,7.791840
147,7.787616
148,7.792576
149,7.786368
150,7.788864
151,7.787520
152,7.789696
153,7.793376
154,7.779136
155,7.778656
156,7.786784
157,7.787584
158,7.784096
159,7.791328
160,7.782720
161,7.791744
162,7.782880
163,7.791296
164,7.780096
165,7.793792
166,7.791680
167,7.784896
168,7.780864
169,7.784448
170,7.789312
171,7.791040
172,7.780416
173,7.785824
174,7.790976
175,7.790528
176,7.796288
177,7.789504
178,7.782624
179,7.787328
180,7.786752
181,7.792192
182,7.778816
183,7.778464
184,7.778752
185,7.784992
186,7.785248
187,7.786976
188,7.784800
189,7.779296
190,7.783712
191,7.785344
192,7.789184
193,7.782784
194,7.794432
195,7.784864
196,7.794176
197,7.784672
198,7.790464
199,7.792640
200,7.781440
201,7.778048
202,7.792320
203,7.783968
204,7.786528
205,7.786048
206,7.793696
207,7.787168
208,7.778944
209,7.780288
210,7.792672
211,7.792928
212,7.789152
213,7.783040
214,7.778368
215,7.782848
216,7.782784
217,7.787296
218,7.788352
219,7.781952
220,7.787296
221,7.782176
222,7.777920
223,7.778976
224,7.778848
225,7.776672
226,7.783040
227,7.781856
228,7.791040
229,7.786944
230,7.782016
231,7.783584
232,6.387584
233,6.385664
234,6.381088
235,6.383200
236,6.386656
237,7.789344
238,7.789536
239,7.784320
240,7.778080
241,7.781856
242,7.779136
243,7.725184
244,6.393728
245,6.395904
246,6.411392
247,6.392544
248,7.786400
249,7.782880
250,7.785760
251,7.793536
252,7.795232
253,7.785664
254,7.788576
